t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
1.100000000000000006e-01,1.968907942663134842e-11,-1.560226295870087654e+00,-2.389482235397003508e-11,-2.698932789332182947e-01,-8.231677362429775043e-11,3.138315407960850401e+00,-1.122283275712506662e-10,5.263843999679966432e-10,4.741969717902563830e-02,-6.388242667213601120e-10,2.853170708725971498e-03,-2.200725821285432158e-09,-4.503729963723945851e-02,-3.000406448058698183e-09,9.188566948167757413e-09,8.277583116403333108e-01,-1.115131744641420464e-08,4.980495256560369538e-02,-3.841587354160211161e-08,-7.861711762480543264e-01,-5.237509987259833317e-08
1.199999999999999956e-01,2.542448465204712357e-11,-1.559709617984107899e+00,-3.085535545050338111e-11,-2.698621912144469337e-01,-1.062955510650336324e-10,3.137824688320044686e+00,-1.449203048061635783e-10,6.219023772134579005e-10,5.602449921420794843e-02,-7.547456385861973935e-10,3.370908496643077942e-03,-2.600070632670080920e-09,-5.320979061951097711e-02,-3.544861707086569035e-09,9.912008498918336359e-09,8.929300364585515126e-01,-1.202929182825777691e-08,5.372623564732560697e-02,-4.144046260811770343e-08,-8.480686296930346479e-01,-5.649873783336919483e-08
1.300000000000000044e-01,3.215094030019738284e-11,-1.559103660645815292e+00,-3.901863517027583851e-11,-2.698257316874738687e-01,-1.344177458556002087e-10,3.137249174686774555e+00,-1.832612983852246630e-10,7.245643990834167604e-10,6.527287737502718290e-02,-8.793370794518385802e-10,3.927369276475763289e-03,-3.029283509055331440e-09,-6.199352402916992466e-02,-4.130038229050546907e-09,1.061739879078493314e-08,9.564756013259225753e-01,-1.288535905969822653e-08,5.754967517003144878e-02,-4.438958235689686402e-08,-9.084216225589463178e-01,-6.051948309147945831e-08
1.400000000000000133e-01,3.993898654615465510e-11,-1.558402069195494954e+00,-4.847026962708758880e-11,-2.697835180021356805e-01,-1.669782747616340714e-10,3.136582831663711435e+00,-2.276533893658278849e-10,8.341906405205640414e-10,7.514863199872107158e-02,-1.012380352207950279e-09,4.521578339273229358e-03,-3.487612631719052587e-09,-7.137311408542793001e-02,-4.754911005873822745e-09,1.130487533007372043e-08,1.018407393591690413e+00,-1.371968601947514921e-08,6.127601646159389764e-02,-4.726380767898614373e-08,-9.672419198462596235e-01,-6.443811943688895921e-08
1.499999999999999944e-01,4.885737218973365615e-11,-1.557598650350692449e+00,-5.929369290757244311e-11,-2.697351775180922284e-01,-2.042645651061026828e-10,3.135819777123085572e+00,-2.784884479140969009e-10,9.506026515306522516e-10,8.563568729601978013e-02,-1.153658888531594915e-09,5.152568429363404805e-03,-3.974311930849575923e-09,-8.133329265750133263e-02,-5.418462867379188334e-09,1.197457562309088418e-08,1.078737800605100050e+00,-1.453243958632815720e-08,6.490600484988569285e-02,-5.006371346543212600e-08,-1.024541286555445518e+00,-6.825543065955752657e-08
1.600000000000000033e-01,5.897306840612208482e-11,-1.556687370967478667e+00,-7.157018175907196896e-11,-2.696803472302935489e-01,-2.465566122584097324e-10,3.134954281030183587e+00,-3.361482116838821229e-10,1.073623357182496623e-09,9.671809135114600720e-02,-1.302957788887232277e-09,5.819379744352949461e-03,-4.488641085545704797e-09,-9.185890926461129369e-02,-6.119684481289035467e-09,1.262663717614260699e-08,1.137479209715396289e+00,-1.532378663899686112e-08,6.844038566277955982e-02,-5.278987460728141413e-08,-1.080331487686975400e+00,-7.197220054944504893e-08
1.700000000000000122e-01,7.035128249651093453e-11,-1.555662356801714719e+00,-8.537887227750910637e-11,-2.696186736944473639e-01,-2.941270371234985940e-10,3.133980764266851349e+00,-4.010043641957548998e-10,1.203077057607973663e-09,1.083800161218148317e-01,-1.460063822526716735e-09,6.521059935127246528e-03,-5.029865523816704840e-09,-1.029349310759835878e-01,-6.857574353225353470e-09,1.326119749553506651e-08,1.194644008271823266e+00,-1.609389405622086327e-08,7.187990422814821700e-02,-5.544286599558057832e-08,-1.134624288241319556e+00,-7.558921289651133546e-08
1.799999999999999933e-01,8.305547163872530556e-11,-1.554517891270317032e+00,-1.007967765952624238e-10,-2.695498129524859787e-01,-3.472411436309578375e-10,3.132893797454991525e+00,-4.734186132160047228e-10,1.338789428002020535e-09,1.206057574392336851e-01,-1.624765427489298470e-09,7.256664105850402571e-03,-5.597256422582303128e-09,-1.145464429108486032e-01,-7.631138826709721749e-09,1.387839408757445034e-08,1.250244583623626227e+00,-1.684292871673977924e-08,7.522530587386440371e-02,-5.802326252137622188e-08,-1.187431453218949606e+00,-7.910725149071627471e-08
1.900000000000000022e-01,9.714735663785513335e-11,-1.553248414212522466e+00,-1.178987995690400706e-10,-2.694734304580338469e-01,-4.061569762241261723e-10,3.131688099780064238e+00,-5.537427691356357853e-10,1.480587518622639298e-09,1.333797350081027122e-01,-1.796852710601626791e-09,8.025254813965265743e-03,-6.190090707672704322e-09,-1.266786472384417161e-01,-8.439392083163337095e-09,1.447836445856694107e-08,1.304293323120049974e+00,-1.757105749929321960e-08,7.847733592780085921e-02,-6.053163907571494147e-08,-1.238764747620336504e+00,-8.252710012201972879e-08
2.000000000000000111e-01,1.126869356768854710e-10,-1.551848520651153196e+00,-1.367577554677535025e-10,-2.693892010018744676e-01,-4.711253773491958138e-10,3.130358537814588171e+00,-6.423188233493608277e-10,1.628299754790891115e-09,1.466864924066142994e-01,-1.976117447477744343e-09,8.825902070193401491e-03,-6.807651053828570809e-09,-1.393168641780028194e-01,-9.281356141906981419e-09,1.506124611481872134e-08,1.356802614110339089e+00,-1.827844728262078836e-08,8.163673971783028116e-02,-6.296857054964330731e-08,-1.288635936445950980e+00,-8.584954258038152008e-08
2.099999999999999922e-01,1.297324980673273660e-10,-1.550312959553882708e+00,-1.574443846603915832e-10,-2.692968086374177283e-01,-5.423900449443184605e-10,3.128900124341639000e+00,-7.394790266345990673e-10,1.781755936890899357e-09,1.605106970864532689e-01,-2.162353082519089378e-09,9.657683338535096029e-03,-7.449225884701027667e-09,-1.524465314987764608e-01,-1.015606086016103251e-08,1.562717656263596879e-08,1.407784843943738151e+00,-1.896526494546209941e-08,8.470426257182540886e-02,-6.533463183420790946e-08,-1.337056784696263989e+00,-8.907536265576151068e-08
