t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
1.000000000000000021e-02,0.000000000000000000e+00,-7.850130497741876212e-01,0.000000000000000000e+00,-2.855989634750787598e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-3.890478697074819907e-03,0.000000000000000000e+00,3.090151650819428480e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.683387852602584500e-01,0.000000000000000000e+00,6.102805208638624190e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.394614144855976789e-02,-5.988320879848547662e+00,-6.987724995664204020e-01,2.240586352018831562e+01,1.050850162090541717e+00,3.390624516744930705e+00,8.946351472138847072e-12
1.099999999999999936e-02,0.000000000000000000e+00,-7.850173367180408590e-01,0.000000000000000000e+00,-2.855986229692527356e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-4.695680710963766845e-03,0.000000000000000000e+00,3.729712107565506460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.419690187998036812e-01,0.000000000000000000e+00,6.687639635038441499e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.528331445400299415e-02,-6.207102882647498987e+00,-7.000868218131628407e-01,2.260113094645990728e+01,1.052565974529277470e+00,3.496626721283850880e+00,9.943747214524734090e-12
1.200000000000000025e-02,0.000000000000000000e+00,-7.850224655828622611e-01,0.000000000000000000e+00,-2.855982155908469267e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-5.574224531933982991e-03,0.000000000000000000e+00,4.427526913936135310e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.150226441180153714e-01,0.000000000000000000e+00,7.267894144708808568e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.661029601240304743e-02,-6.424159995652921396e+00,-7.013912854241577399e-01,2.279487547592838226e+01,1.054269147232483439e+00,3.601799217496254535e+00,1.098878973926353808e-11
1.300000000000000114e-02,0.000000000000000000e+00,-7.850285094223994342e-01,0.000000000000000000e+00,-2.855977355373065407e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-6.525534285849796459e-03,0.000000000000000000e+00,5.183138661332124808e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.875011293862179240e-01,0.000000000000000000e+00,7.843580399124817637e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.792716171443742290e-02,-6.639495988387917436e+00,-7.026859375453865519e-01,2.298710147453763142e+01,1.055959772526373408e+00,3.706144158251431175e+00,1.209121344714070290e-11
1.400000000000000029e-02,0.000000000000000000e+00,-7.850355407152599385e-01,0.000000000000000000e+00,-2.855971770517593544e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-7.549035566746857724e-03,0.000000000000000000e+00,5.996091107301790117e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.059405942775735854e+00,0.000000000000000000e+00,8.414710059761562055e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923399067271058804e-02,-6.853114691785572532e+00,-7.039708228198249262e-01,2.317781329649079325e+01,1.057637940985766134e+00,3.809663696859624693e+00,1.326146137348160892e-11
1.499999999999999944e-02,0.000000000000000000e+00,-7.850436313663796684e-01,0.000000000000000000e+00,-2.855965344228989622e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-8.644155436832145697e-03,0.000000000000000000e+00,6.865929175540962624e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.130738552457894786e+00,0.000000000000000000e+00,8.981294788094136283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.053086541036286405e-02,-7.065019996513299816e+00,-7.052459834520656834e-01,2.336701528438737085e+01,1.059303741466059989e+00,3.912359987042275389e+00,1.451066176938464736e-11
1.600000000000000033e-02,0.000000000000000000e+00,-7.850528527084904562e-01,0.000000000000000000e+00,-2.855958019848684248e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-9.810322426483967725e-03,0.000000000000000000e+00,7.792198955892981269e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.201500426604018790e+00,0.000000000000000000e+00,9.543346245597635891e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.181787175105398546e-02,-7.275215851315831372e+00,-7.065114592720540543e-01,2.355471176935530764e+01,1.060957261134657381e+00,4.014235182902232246e+00,1.585061335657167447e-11
1.700000000000000122e-02,0.000000000000000000e+00,-7.850632755035890087e-01,0.000000000000000000e+00,-2.855949741171434741e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.104696653425194831e-02,0.000000000000000000e+00,8.774447704348691673e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.271693033385432603e+00,0.000000000000000000e+00,1.010087609374715090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.309509871032511263e-02,-7.483706261376970481e+00,-7.077672877979352961e-01,2.374090707117818155e+01,1.062598585501844273e+00,4.115291438893952325e+00,1.729374542874806409e-11
1.800000000000000211e-02,0.000000000000000000e+00,-7.850749699444042884e-01,0.000000000000000000e+00,-2.855940452444158950e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.235351922685704040e-02,0.000000000000000000e+00,9.812223843046450483e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.341317840973461406e+00,0.000000000000000000e+00,1.065389599401778131e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436263838830021733e-02,-7.690495286700174127e+00,-7.090135042980401092e-01,2.392560549841768847e+01,1.064227798451141460e+00,4.215530909793693937e+00,1.885312825994356345e-11
1.899999999999999953e-02,0.000000000000000000e+00,-7.850880056558663389e-01,0.000000000000000000e+00,-2.855930098364768632e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.372941343919151583e-02,0.000000000000000000e+00,1.090507696027212016e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.410376317539429492e+00,0.000000000000000000e+00,1.120241760788460939e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.562058586375903779e-02,-7.895587040507631826e+00,-7.102501418519724385e-01,2.410881134853119789e+01,1.065844982269112284e+00,4.314955750669697387e+00,2.054242453225496590e-11
