t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
1.000626390697146456e-02,1.590677920873797223e-05,-7.849892586705133901e-01,8.774009287433346817e-06,-2.356008618941904054e+00,1.425294186667087803e-06,1.570998151600082604e+00,7.850003701038783532e-01,4.735302529729540008e-03,3.198081679155506760e-03,2.611402572132857664e-03,-2.562268345049873147e-03,4.241952947676470723e-04,-5.486524067602111844e-04,1.101995646058078734e-04,9.330161692852032562e-01,6.303261644237273531e-01,5.143190366733692009e-01,-5.034462801830559275e-01,8.354015699107363024e-02,-1.074620063810592940e-01,2.172230747092865691e-02,1.982715895177225462e+00,-9.248922468281132181e-01,1.197201936458412552e+00,1.824725717642495226e+01,1.018398515092120205e+00,7.596044705694957599e-01,-7.650962680998508736e-01
1.100689029766861032e-02,2.112700688892827348e-05,-7.849857329738710865e-01,1.165271290160661487e-05,-2.356011442801017708e+00,1.892906553351633516e-06,1.570997547127346738e+00,7.850004915938386674e-01,5.713440973686554313e-03,3.858922922492377932e-03,3.150560098753777457e-03,-3.089835261641311458e-03,5.117690250088098277e-04,-6.612081282156731478e-04,1.329738883080996200e-04,1.021903648104754758e+00,6.904414074617304387e-01,5.632458386996451738e-01,-5.509416150091527298e-01,9.148539826966543831e-02,-1.174869047845845671e-01,2.379483455529553954e-02,2.171529953363533050e+00,-7.107442394549143838e-01,1.376376485509961611e+00,1.807284647179989179e+01,1.003292531346271055e+00,6.719930107087281890e-01,-8.379531335581253959e-01
1.200751668836575609e-02,2.737035262933026379e-05,-7.849815160143429615e-01,1.509533062941454317e-05,-2.356014818249470455e+00,2.452112835006345407e-06,1.570996825031276911e+00,7.850006369069568724e-01,6.780125370688628791e-03,4.579654516081114318e-03,3.738449687633300152e-03,-3.664671088051775494e-03,6.072561962622797854e-04,-7.837302201991826244e-04,1.578130641005169696e-04,1.109997592604251349e+00,7.500321286144543409e-01,6.117223653562751107e-01,-5.979251811393190286e-01,9.935716682238998620e-02,-1.273823396671016073e-01,2.584943484316169771e-02,2.358644158609795038e+00,-4.986656986054358587e-01,1.553923917769615137e+00,1.790016059748226951e+01,9.883226316774336162e-01,5.852514280249713208e-01,-9.101532215407569515e-01
1.300814307906290358e-02,3.472502095995411305e-05,-7.849765481264074918e-01,1.915039985544513240e-05,-2.356018792329839684e+00,3.110794682606099417e-06,1.570995975404002598e+00,7.850008081004120619e-01,7.934562819591376576e-03,5.359752348648878610e-03,4.374621431467450722e-03,-4.286264521086730755e-03,7.105833960831092191e-04,-9.160893485191904263e-04,1.846991791159019621e-04,1.197300261844995051e+00,8.090998052925966189e-01,6.597499160572593002e-01,-6.443985497264909101e-01,1.071556751232584925e-01,-1.371487316135665546e-01,2.788615862007131491e-02,2.544063459302572383e+00,-2.886540932054523223e-01,1.729849270617950241e+00,1.772919507299373976e+01,9.734874151855509306e-01,4.993769201571203742e-01,-9.816983607598139816e-01
1.400876946976004934e-02,4.327842414394578993e-05,-7.849707701682424599e-01,2.386600842568582673e-05,-2.356023411573862969e+00,3.876760395066081590e-06,1.570994988466856812e+00,7.850010072134846473e-01,9.175962679726755097e-03,6.198693787258956721e-03,5.058626723180185969e-03,-4.954105829688731227e-03,8.216774246334530071e-04,-1.058156599832552102e-03,2.136143708041390670e-04,1.283813914888289220e+00,8.676459149068538323e-01,7.073297902165979201e-01,-6.903632919236040166e-01,1.148811356462820926e-01,-1.467865012089354937e-01,2.990505617156856769e-02,2.727792810865676376e+00,-8.070698422185540455e-02,1.904157668898085909e+00,1.755994543339879144e+01,9.587854168122448284e-01,4.143666873516301252e-01,-1.052590376854033671e+00
1.500939586045719684e-02,5.311718443947949713e-05,-7.849641235202464706e-01,2.928979594856597179e-05,-2.356028722004015918e+00,4.757745131982086120e-06,1.570993854569958215e+00,7.850012362676066502e-01,1.050353657090309471e-02,7.095957677310779470e-03,5.790018255923416214e-03,-5.667686854937428048e-03,9.404652946825694994e-04,-1.209803481644531296e-03,2.445408269321556311e-04,1.369540810795436547e+00,9.256719348679235404e-01,7.544632872482917030e-01,-7.358209788835946563e-01,1.225337608654720051e-01,-1.562960690381647033e-01,3.190617778319764647e-02,2.909837175657230546e+00,1.251779795269474249e-01,2.076854322053165891e+00,1.739240722844182940e+01,9.442151099025470895e-01,3.302179324112051173e-01,-1.122831092545274911e+00
1.601002225115434260e-02,6.432713636164980508e-05,-7.849565500835596898e-01,3.546895509599910144e-05,-2.356034769135082918e+00,5.761411126370772083e-06,1.570992564191786123e+00,7.850014972664112189e-01,1.191649837340507181e-02,8.051024342539901332e-03,6.568350023076983610e-03,-6.426501010049558670e-03,1.066874231606819651e-03,-1.370901922308797802e-03,2.774607855839212006e-04,1.454483208627739721e+00,9.831793425865025249e-01,8.011517065663406045e-01,-7.807731817593985824e-01,1.301137632548393375e-01,-1.656778556862102125e-01,3.388957374050272087e-02,3.090201522868004425e+00,3.290030655030070639e-01,2.247944521298268494e+00,1.722657602169234536e+01,9.297749087277131785e-01,2.469278606433554235e-01,-1.192422327789792957e+00
1.701064864185148837e-02,7.699332894436408377e-05,-7.849479922785844721e-01,4.245023290442545669e-05,-2.356041597975730095e+00,6.895347897409956609e-06,1.570991107938761511e+00,7.850017921957845868e-01,1.341406422799372444e-02,9.063375585018015185e-03,7.393177318248673850e-03,-7.230043280378954662e-03,1.200831673389666805e-03,-1.541324271027428097e-03,3.123565351604481446e-04,1.538643367446502097e+00,1.040169615473287790e+00,8.473963475847451354e-01,-8.252214717039516589e-01,1.376213552883952806e-01,-1.749322817380282447e-01,3.585529432902798130e-02,3.268890828421111561e+00,5.307704615237986978e-01,2.417433636826309851e+00,1.706244738969816055e+01,9.154631709693418218e-01,1.644936798087895391e-01,-1.261365899924303147e+00
1.801127503254863413e-02,9.120002800223478889e-05,-7.849383930435056556e-01,5.027993207585428769e-05,-2.356049253030080948e+00,8.167072463178886446e-06,1.570989476544826458e+00,7.850021230239143666e-01,1.499545253590645576e-02,1.013249468515294710e-02,8.264056735274217039e-03,-8.077810223416538246e-03,1.342265270621678533e-03,-1.720943297850905567e-03,3.492104143797914654e-04,1.622023546313026365e+00,1.096644230938976783e+00,8.931985097175055843e-01,-8.691674198701899723e-01,1.450567494401510116e-01,-1.840597677785748842e-01,3.780338983431760086e-02,3.445910074873079321e+00,7.304822797803270928e-01,2.585327115047489688e+00,1.690001692114667975e+01,9.012782001650452290e-01,8.291260006964384921e-02,-1.329663623806786044e+00
1.901190142324578336e-02,1.070307183924717413e-04,-7.849276958328121889e-01,5.900391227890628462e-05,-2.356057778299286642e+00,9.584029553398521384e-06,1.570987660871021374e+00,7.850024917013417314e-01,1.665988395885702189e-02,1.125786640168865808e-02,9.180546168217286820e-03,-8.969299968790329231e-03,1.491102886500524907e-03,-1.909632193678120499e-03,3.880048122770486901e-04,1.704626004288615215e+00,1.152604666394266175e+00,9.385594923786226840e-01,-9.126125974110494976e-01,1.524201581841177489e-01,-1.930607343928063824e-01,3.973391054191576649e-02,3.621264251316356653e+00,9.281405607991642936e-01,2.751630475861860603e+00,1.673928021603403948e+01,8.872182481159336387e-01,2.181833937531546530e-03,-1.397317311952020802e+00
