t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.01300190,0.00035655,-0.78687186,-0.00017556,-2.23084249,0.00419219,1.58541131,0.78552998,0.00026301,-0.03638247,-0.00088989,0.39980180,0.00452990,0.06133625,-0.00225259,-0.11058246,-1.36301904,-0.36893937,0.97209752,0.52381210,0.31704734,-0.04913328,0.17622449,-0.23954747,-0.37693371,-0.33048588,0.49107494,0.39327814,-0.01693793,0.21610151,1.36301904
0.01400204,0.00036081,-0.78690090,-0.00017564,-2.23044797,0.00419208,1.58546731,0.78553763,0.00101593,-0.03397422,-0.00066696,0.39762996,0.00338241,0.06022921,0.00021766,-0.11025576,-1.40740013,-0.37017359,0.98987423,0.52430874,0.31814733,-0.04902019,0.18347396,-0.26276709,-0.36631333,-0.39627616,0.49852003,0.38872625,-0.03442239,0.21607126,1.40740013
0.01500219,0.00036010,-0.78692283,-0.00017181,-2.23005074,0.00419326,1.58552327,0.78553548,0.00068092,-0.03089188,0.00112199,0.39598698,0.00230359,0.05859948,-0.00044429,-0.11070533,-1.46436633,-0.37349293,1.01273160,0.52479521,0.31926076,-0.04885598,0.20712471,-0.29674621,-0.37741453,-0.47033425,0.50547129,0.38754536,-0.02947707,0.21604079,1.46436633
0.01600234,0.00036370,-0.78694188,-0.00017182,-2.22966611,0.00419315,1.58558543,0.78552946,0.00156123,-0.02740399,0.00025423,0.39332527,0.00157368,0.05899262,-0.00221251,-0.11215436,-1.53190990,-0.37917100,1.03980520,0.52527095,0.32037708,-0.04867083,0.21304132,-0.33673334,-0.35217377,-0.52932503,0.51002044,0.37164045,-0.01658768,0.21601127,1.53190990
0.01700248,0.00036275,-0.78695869,-0.00017568,-2.22928261,0.00419783,1.58564729,0.78553074,0.00056105,-0.02375654,-0.00124723,0.38998662,0.00210878,0.05891453,-0.00059495,-0.11383730,-1.60956924,-0.38532730,1.07101688,0.52581015,0.32155775,-0.04847163,0.24607428,-0.37927344,-0.31745791,-0.57938134,0.50549418,0.35877112,-0.02775137,0.21598181,1.60956924
0.01800263,0.00036567,-0.78697782,-0.00017568,-2.22889427,0.00419975,1.58570773,0.78554066,0.00088992,-0.02288349,-0.00077918,0.38850225,0.00216424,0.05952316,0.00204118,-0.11481170,-1.69482527,-0.38989076,1.10521745,0.52645693,0.32278370,-0.04823012,0.26075436,-0.38556966,-0.31059914,-0.65661289,0.50452094,0.34072919,-0.04645303,0.21595196,1.69482527
0.01900277,0.00036227,-0.78699228,-0.00017747,-2.22851279,0.00419918,1.58576972,0.78553548,0.00012281,-0.02041009,-0.00098733,0.38751119,0.00239027,0.05975149,-0.00019455,-0.11499203,-1.78190477,-0.39280239,1.13906877,0.52711232,0.32385349,-0.04795912,0.29166603,-0.41483724,-0.29413540,-0.74057772,0.50248754,0.32501456,-0.03028643,0.21592262,1.78190477
0.02000292,0.00036250,-0.78701107,-0.00017955,-2.22812498,0.00420305,1.58583564,0.78553340,-0.00032996,-0.01987034,-0.00124248,0.38660059,0.00251096,0.06216305,-0.00036651,-0.11435759,-1.86537324,-0.39420677,1.16909489,0.52765267,0.32451685,-0.04771424,0.31813296,-0.41804015,-0.27719754,-0.82697951,0.50100060,0.29347186,-0.02870372,0.21589277,1.86537324
0.02100307,0.00037122,-0.78702403,-0.00017747,-2.22775248,0.00420455,1.58589931,0.78553180,0.00198236,-0.01754563,0.00026368,0.38308969,0.00223055,0.06234023,-0.00076072,-0.11347243,-1.94250482,-0.39507780,1.19398436,0.52797202,0.32468627,-0.04751365,0.30533070,-0.44511696,-0.28570518,-0.87598435,0.50247200,0.27751611,-0.02558831,0.21586409,1.94250482
0.02200321,0.00036746,-0.78704852,-0.00018519,-2.22737800,0.00420242,1.58596235,0.78553405,0.00078479,-0.01941290,-0.00264618,0.38021507,0.00066608,0.06292044,0.00045718,-0.11288720,-2.01166713,-0.39598885,1.21413998,0.52803611,0.32443624,-0.04732577,0.34285490,-0.41485772,-0.23181497,-0.93488928,0.51307146,0.25834092,-0.03392661,0.21583523,2.01166713
0.02300336,0.00037557,-0.78706890,-0.00018341,-2.22700433,0.00420175,1.58602240,0.78553151,0.00368982,-0.01967806,-0.00138407,0.37748881,0.00033454,0.06230420,-0.00098121,-0.11237620,-2.06933677,-0.39595303,1.22920799,0.52787014,0.32378549,-0.04713402,0.32240357,-0.40724261,-0.23733700,-0.99637678,0.51504476,0.24744179,-0.02342401,0.21580642,2.06933677
0.02400350,0.00037860,-0.78709082,-0.00018346,-2.22664331,0.00420102,1.58607369,0.78553218,0.00345809,-0.02035940,-0.00053786,0.37180106,-0.00008613,0.05956342,-0.00000620,-0.11269634,-2.11390072,-0.39622292,1.24004622,0.52747248,0.32285695,-0.04695218,0.34679764,-0.39265883,-0.23634855,-1.01579003,0.51765831,0.25162800,-0.02996587,0.21577858,2.11390072
0.02500365,0.00038374,-0.78710613,-0.00018412,-2.22628236,0.00420027,1.58613109,0.78553291,0.00465023,-0.01836976,-0.00117740,0.36690248,-0.00030029,0.05834871,0.00001242,-0.11444841,-2.14910107,-0.39819551,1.25054956,0.52694069,0.32203083,-0.04678087,0.35096968,-0.41604940,-0.21538590,-1.04670700,0.51882447,0.24459451,-0.02980968,0.21575073,2.14910107
0.02600380,0.00038533,-0.78713745,-0.00018157,-2.22592798,0.00419941,1.58618862,0.78553214,0.00351150,-0.02289347,-0.00015190,0.36458898,0.00002277,0.05759484,-0.00054283,-0.11717264,-2.17612721,-0.40134989,1.26223787,0.52637093,0.32151393,-0.04661814,0.38904940,-0.35112417,-0.21721215,-1.11395821,0.51629696,0.23377659,-0.02552560,0.21572336,2.17612721
0.02700394,0.00038923,-0.78715809,-0.00018141,-2.22556530,0.00420103,1.58624488,0.78552987,0.00418232,-0.02260341,-0.00028698,0.36299550,0.00105892,0.05758633,-0.00141509,-0.12043410,-2.19038615,-0.40528760,1.27215243,0.52571072,0.32116172,-0.04647594,0.40146855,-0.35350690,-0.20340353,-1.19258357,0.50865407,0.21763974,-0.01894615,0.21569534,2.19038615
0.02800409,0.00039108,-0.78718497,-0.00017957,-2.22520720,0.00420027,1.58630147,0.78553517,0.00302275,-0.02408987,0.00027880,0.36010916,0.00082234,0.05667580,0.00091593,-0.12382341,-2.19029967,-0.40964758,1.27842540,0.52492228,0.32088207,-0.04634788,0.44028156,-0.33076129,-0.19910276,-1.25336779,0.51007249,0.20750160,-0.03515318,0.21566766,2.19029967
0.02900423,0.00039549,-0.78721040,-0.00018307,-2.22486033,0.00420103,1.58635918,0.78553517,0.00304010,-0.02465613,-0.00099283,0.35654642,0.00102971,0.05716845,0.00073312,-0.12665724,-2.17825352,-0.41344261,1.28185405,0.52406743,0.32077880,-0.04622444,0.46225950,-0.32093611,-0.16939545,-1.30402127,0.50830077,0.18724293,-0.03349101,0.21564083,2.17825352
0.03000438,0.00039553,-0.78723589,-0.00018235,-2.22450704,0.00420255,1.58641640,0.78553062,0.00274674,-0.02497136,-0.00027305,0.35633799,0.00114447,0.05714163,-0.00118072,-0.12839609,-2.15643975,-0.41575257,1.28287326,0.52318798,0.32087671,-0.04612871,0.48972292,-0.31655515,-0.16753841,-1.40292075,0.50719531,0.17027991,-0.01946369,0.21561348,2.15643975
0.03100453,0.00039718,-0.78726572,-0.00018425,-2.22417088,0.00420255,1.58647633,0.78553456,0.00172656,-0.02623187,-0.00050950,0.35186166,0.00125368,0.05811986,-0.00078020,-0.12892923,-2.12659323,-0.41657330,1.28126474,0.52226832,0.32108486,-0.04607532,0.52734596,-0.29728261,-0.15224735,-1.44090641,0.50621097,0.14594800,-0.02205531,0.21558745,2.12659323
0.03200467,0.00040379,-0.78729900,-0.00018696,-2.22382088,0.00420255,1.58653053,0.78553941,0.00332624,-0.02838159,-0.00117467,0.35175482,0.00099932,0.05783492,0.00115113,-0.12831326,-2.08879948,-0.41597670,1.27634317,0.52127937,0.32126480,-0.04604253,0.52792467,-0.26792485,-0.13171574,-1.54223204,0.50777880,0.13032164,-0.03538831,0.21556034,2.08879948
0.03300482,0.00041197,-0.78733811,-0.00018717,-2.22348258,0.00420417,1.58658816,0.78553582,0.00506322,-0.03195365,-0.00047855,0.34720665,0.00111700,0.05763454,0.00108698,-0.12731406,-2.04088855,-0.41468954,1.26642173,0.52013661,0.32119970,-0.04602700,0.52685825,-0.21684379,-0.13038467,-1.58084458,0.50669607,0.11372939,-0.03432513,0.21553411,2.04088855
0.03400496,0.00041468,-0.78737793,-0.00018902,-2.22314861,0.00420417,1.58664019,0.78552871,0.00422787,-0.03434153,-0.00100403,0.34367276,0.00098510,0.05604404,-0.00101309,-0.12662501,-1.98174226,-0.41368223,1.25102774,0.51880659,0.32077727,-0.04605565,0.56266260,-0.18255763,-0.11157411,-1.63381400,0.50744665,0.10687362,-0.01882071,0.21550821,1.98174226
0.03500511,0.00042892,-0.78741927,-0.00018518,-2.22281616,0.00420331,1.58668987,0.78553547,0.00710620,-0.03627379,0.00114750,0.34075135,0.00047358,0.05353971,0.00117811,-0.12665686,-1.91310107,-0.41392361,1.23105497,0.51730438,0.31998483,-0.04612465,0.54573082,-0.15494138,-0.13127991,-1.69582300,0.51094537,0.10624712,-0.03403806,0.21548242,1.91310107
0.03600526,0.00043231,-0.78746151,-0.00018306,-2.22248429,0.00420179,1.58674265,0.78553794,0.00623312,-0.03779059,0.00087315,0.33774542,-0.00002672,0.05296170,0.00163430,-0.12803385,-1.83772604,-0.41674580,1.20702856,0.51561563,0.31877702,-0.04619699,0.58263108,-0.13332015,-0.11664358,-1.75712629,0.51439804,0.09172150,-0.03688254,0.21545666,1.83772604
0.03700540,0.00044478,-0.78750647,-0.00018834,-2.22216154,0.00420179,1.58679017,0.78553599,0.00848949,-0.03956186,-0.00115365,0.33388960,0.00007619,0.05106462,0.00031315,-0.13023730,-1.75847020,-0.42094876,1.17953104,0.51382884,0.31713939,-0.04625641,0.57459319,-0.10786648,-0.07802345,-1.80623980,0.51353232,0.08642480,-0.02705793,0.21543160,1.75847020
0.03800555,0.00045210,-0.78756055,-0.00018703,-2.22183695,0.00420417,1.58684092,0.78554064,0.00814415,-0.04381474,-0.00073708,0.33067831,0.00088475,0.05125137,0.00294177,-0.13235439,-1.67579419,-0.42429949,1.14841489,0.51204959,0.31506035,-0.04630923,0.60440481,-0.04843219,-0.07323692,-1.86530090,0.50767927,0.06601015,-0.04518891,0.21540638,1.67579419
0.03900569,0.00046146,-0.78760795,-0.00018511,-2.22152692,0.00420255,1.58688649,0.78553447,0.00890352,-0.04470870,0.00022158,0.32427367,0.00004773,0.04990182,0.00062794,-0.13438376,-1.58978821,-0.42701862,1.11405148,0.51031100,0.31262062,-0.04637038,0.61872731,-0.03431692,-0.07637001,-1.87852846,0.51356181,0.05651953,-0.02818311,0.21538228,1.58978821
0.04000584,0.00046460,-0.78765785,-0.00018690,-2.22121707,0.00420493,1.58693270,0.78553342,0.00699630,-0.04622805,-0.00057973,0.32034466,0.00045837,0.04855242,-0.00031765,-0.13610331,-1.50427648,-0.42952750,1.07900487,0.50869740,0.31005366,-0.04645579,0.67131504,-0.01301083,-0.05430290,-1.92704974,0.51052019,0.04663162,-0.02099126,0.21535818,1.50427648
0.04100599,0.00047594,-0.78770857,-0.00018442,-2.22090775,0.00420493,1.58697936,0.78553701,0.00813017,-0.04725453,0.00022051,0.31678697,-0.00061435,0.04783014,0.00045754,-0.13692704,-1.42261195,-0.43126852,1.04479980,0.50727275,0.30746542,-0.04656194,0.68079202,0.00105663,-0.05569285,-1.98125475,0.51801399,0.03206584,-0.02606632,0.21533411,1.42261195
0.04200613,0.00049086,-0.78775401,-0.00018805,-2.22060039,0.00420569,1.58702885,0.78553871,0.01028044,-0.04640638,-0.00101825,0.31439742,-0.00010207,0.04837082,0.00036599,-0.13716610,-1.34668635,-0.43242236,1.01135612,0.50597471,0.30480375,-0.04667840,0.67561725,-0.01212813,-0.02870505,-2.05201577,0.51437135,0.00826507,-0.02497122,0.21531018,1.34668635
0.04300628,0.00049500,-0.78780265,-0.00018590,-2.22029392,0.00420569,1.58707501,0.78553448,0.00850570,-0.04622415,0.00022252,0.31175520,-0.00012625,0.04765961,-0.00145779,-0.13722984,-1.27900027,-0.43329078,0.97876301,0.50472959,0.30201543,-0.04680393,0.72741055,-0.01610549,-0.03560240,-2.11981819,0.51458423,-0.00688967,-0.01143573,0.21528632,1.27900027
0.04400642,0.00050629,-0.78785183,-0.00018795,-2.21999716,0.00420569,1.58712037,0.78553746,0.00981570,-0.04731498,-0.00051797,0.30764197,0.00015357,0.04691213,-0.00012301,-0.13694496,-1.22036511,-0.43381599,0.94714327,0.50351967,0.29909101,-0.04692785,0.73508478,-0.00248961,-0.01572059,-2.16667309,0.51264799,-0.02202721,-0.02036362,0.21526320,1.22036511
0.04500657,0.00051842,-0.78789895,-0.00018586,-2.21969839,0.00420173,1.58716201,0.78553492,0.01046376,-0.04686518,0.00033771,0.30394514,-0.00057846,0.04568755,-0.00121527,-0.13651828,-1.17054553,-0.43431857,0.91708919,0.50233915,0.29609882,-0.04703838,0.75248807,-0.01069777,-0.01821781,-2.22004712,0.51803414,-0.03387235,-0.01201422,0.21523991,1.17054553
0.04600672,0.00053114,-0.78794790,-0.00018794,-2.21940324,0.00420462,1.58720452,0.78553321,0.01170274,-0.04735743,-0.00053965,0.30018394,-0.00045199,0.04431790,-0.00251827,-0.13634853,-1.12984157,-0.43515143,0.88940041,0.50118814,0.29312436,-0.04715101,0.76159313,-0.00624941,0.00331999,-2.27279571,0.51706479,-0.04504399,-0.00221919,0.21521690,1.12984157
