t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
1.000146005832399862e-02,5.113559312760189462e-06,-7.850046924702477336e-01,1.577240728252924039e-07,-2.356012442397838580e+00,3.600600949813030017e-07,1.570991762512899736e+00,7.850003065129028679e-01,1.523444515961670841e-03,-1.397038380765165027e-03,4.613200938384425176e-05,-3.703887507521104461e-03,1.070307755732608163e-04,-2.452590573158745877e-03,9.134805115431360724e-05,3.004962981768530828e-01,-2.751801942354277219e-01,8.755466982248084895e-03,-7.293876159015211247e-01,2.101563764422112457e-02,-4.831497603369723226e-01,1.803063082008415918e-02,4.766108341816955862e-01,-2.451251239341022625e+00,-3.485679519834432583e-01,1.887742329933683649e+01,1.187383196488242421e+00,9.460911785158326870e-01,-1.732013726635701356e-01
1.100160606415639779e-02,6.792311240907145469e-06,-7.850062317118072786e-01,2.083632966387069271e-07,-2.356016523197014934e+00,4.779475142645701024e-07,1.570989060245212787e+00,7.850004071804865813e-01,1.838351227627606221e-03,-1.685353302818582604e-03,5.525195072043492399e-05,-4.468060473482595406e-03,1.290387712925113791e-04,-2.958810323433300193e-03,1.102453472085446158e-04,3.291843058218911766e-01,-3.013242401738858156e-01,9.477148654669835179e-03,-7.986241093441556194e-01,2.299011715535965311e-02,-5.290700779071543236e-01,1.975611436765435658e-02,5.219828612457754202e-01,-2.381991507176421052e+00,-3.166443663844648593e-01,1.876257558979246554e+01,1.188394068553102922e+00,8.759952167044076088e-01,-1.896856746763000146e-01
1.200175206998879696e-02,8.800323190924618514e-06,-7.850080723450112430e-01,2.684801380907088678e-07,-2.356021402798041287e+00,6.188298613881112527e-07,1.570985828788832528e+00,7.850005276087906880e-01,2.181827598680677847e-03,-1.999692493630992815e-03,6.507988084913402134e-05,-5.301147031449898218e-03,1.530101116274413132e-04,-3.510741680054023893e-03,1.308613953494453127e-04,3.576273854820111731e-01,-3.272212491562982439e-01,1.017125450730382852e-02,-8.671949930239960525e-01,2.494176508327276831e-02,-5.745598276829211315e-01,2.146763928519559300e-02,5.669431205435175869e-01,-2.313394447910725571e+00,-2.850315076603603948e-01,1.864883065382377580e+01,1.189402926897642265e+00,8.065661017221470441e-01,-2.060196572072633681e-01
1.300189807582119786e-02,1.116604660379956615e-05,-7.850102402744891794e-01,3.387689140639878202e-07,-2.356027149791984243e+00,7.846593599488391514e-07,1.570982022640624809e+00,7.850006695098429299e-01,2.553628995383583778e-03,-2.339809227278796464e-03,7.558826988614817440e-05,-6.202482415852288850e-03,1.789219959968740229e-04,-4.107954615530835969e-03,1.531822532541071637e-04,3.858261970779222616e-01,-3.528719152838844519e-01,1.083788445001235452e-02,-9.351021494161396719e-01,2.687065008912156369e-02,-6.196202158276469252e-01,2.316524225767509562e-02,6.114927082988275142e-01,-2.245457718144009629e+00,-2.537285585227673224e-01,1.853618541215388760e+01,1.190409553291688960e+00,7.378017739178261980e-01,-2.222037320230735302e-01
1.400204408165359703e-02,1.391768858112040038e-05,-7.850127611584559739e-01,4.198964575074357402e-07,-2.356033832105986825e+00,9.773654639740776481e-07,1.570977596726941927e+00,7.850008345817448552e-01,2.953511444016084560e-03,-2.705457472040952421e-03,8.674968787213360819e-05,-7.171403743868986179e-03,2.067516924908186751e-04,-4.750020308713131210e-03,1.771940152899448588e-04,4.137814005303331877e-01,-3.782769326578642732e-01,1.147713839265770454e-02,-1.002347460995684392e+00,2.877684083406711196e-02,-6.642524485047055505e-01,2.484895997006008467e-02,6.556327181438343921e-01,-2.178178991487187410e+00,-2.227347029572762094e-01,1.842463678304754993e+01,1.191413714727408202e+00,6.697001741451088508e-01,-2.382383107164166569e-01
1.500219008748599793e-02,1.708321254519043784e-05,-7.850156604094058466e-01,5.125022173751871678e-07,-2.356041517005155850e+00,1.198854926602775797e-06,1.570972506402416480e+00,7.850010245087091221e-01,3.381231630874999977e-03,-3.096391890398987601e-03,9.853680477219638612e-05,-8.207250015429167628e-03,2.364765378704706601e-04,-5.436511144789789307e-03,2.028828125146967052e-04,4.414936557599530853e-01,-4.034369953794572083e-01,1.208911624510217164e-02,-1.068932810237727571e+00,3.066040597927049971e-02,-7.084577318774716304e-01,2.651882910731779078e-02,6.993642412688628740e-01,-2.111555958066963612e+00,-1.920491261009458772e-01,1.831418168238108990e+01,1.192415163992785576e+00,6.022592437894844775e-01,-2.541238047371796593e-01
1.600233609331839710e-02,2.069033889914127715e-05,-7.850189631948070179e-01,6.171983585656566164e-07,-2.356050271094443094e+00,1.451011868766717727e-06,1.570966707448754995e+00,7.850012409610955810e-01,3.836546902274212516e-03,-3.512367839036985902e-03,1.109223904758921728e-04,-9.309362113211953546e-03,2.680739375682112389e-04,-6.167000715289168780e-03,2.302348126764244243e-04,4.689636226874908109e-01,-4.283527975498829243e-01,1.267391791720804024e-02,-1.134860079617367346e+00,3.252141418589281352e-02,-7.522372721093188996e-01,2.817488635441543418e-02,7.426883665696834003e-01,-2.045586324037176773e+00,-1.616710141219767360e-01,1.820481702371100496e+01,1.193413640236832496e+00,5.354769247947384070e-01,-2.698606254224062972e-01
1.700248209915079800e-02,2.476654568704629648e-05,-7.850226944377959315e-01,7.345698618605804630e-07,-2.356060160320527785e+00,1.735697847871737599e-06,1.570960156073531566e+00,7.850014855954481341e-01,4.319215264544664333e-03,-3.953141368841598183e-03,1.238793147972264510e-04,-1.047708280264641675e-02,3.015213656876078148e-04,-6.941063818079108716e-03,2.592362202135131515e-04,4.961919612336554430e-01,-4.530250332703613103e-01,1.323164331883760689e-02,-1.200131151609701297e+00,3.435993411509514345e-02,-7.955922753636218703e-01,2.981716839632024552e-02,7.856061807920809992e-01,-1.980267811096641850e+00,-1.315995541015131665e-01,1.809653971834124775e+01,1.194408869526549788e+00,4.693511596889297088e-01,-2.854491840250764634e-01
1.800262810498319543e-02,2.933906925403400719e-05,-7.850268788178709212e-01,8.651746238640529613e-07,-2.356071249973698656e+00,2.054751926478929473e-06,1.570952808908981924e+00,7.850017600545314833e-01,4.828995384034360724e-03,-4.418469224902032283e-03,1.373805474746542775e-04,-1.170975673191157820e-02,3.367963650034135536e-04,-7.758276457366927031e-03,2.898732762546712733e-04,5.231793313191559491e-01,-4.774543966421116448e-01,1.376239235985315598e-02,-1.264747908689826561e+00,3.617603442803854485e-02,-8.385239478037542771e-01,3.144571191799943460e-02,8.281187686737427889e-01,-1.915598156013388120e+00,-1.018339339175736158e-01,1.798934667538923549e+01,1.195400565395718928e+00,4.038798916099048397e-01,-3.008898917417009988e-01
1.900277411081559634e-02,3.443490490640156330e-05,-7.850315407715875438e-01,1.009543556941569720e-06,-2.356083604689742206e+00,2.409990740985863851e-06,1.570944623010794627e+00,7.850020659673675461e-01,5.365646587108368823e-03,-4.908108846510068207e-03,1.513991581710806219e-04,-1.300673043193641999e-02,3.738765469615681967e-04,-8.618215843699435219e-03,3.221322586189311597e-04,5.499263928647014632e-01,-5.016415817663539833e-01,1.426626495011698581e-02,-1.328712233332841386e+00,3.796978378588412861e-02,-8.810334955930906320e-01,3.306055360442024249e-02,8.702272130834945996e-01,-1.851575110155187387e+00,-7.237334213108530256e-02,1.788323480185059822e+01,1.196388429385565111e+00,3.390610643303249572e-01,-3.161831597387281256e-01
2.000292011664799724e-02,4.008080757172811340e-05,-7.850367044932522465e-01,1.168180689159062445e-06,-2.356097288451818095e+00,2.803208570307794905e-06,1.570935555856908028e+00,7.850024049492730915e-01,5.928928860148814997e-03,-5.421818367160039474e-03,1.659083164738599605e-04,-1.436735231639985760e-02,4.127395916791967603e-04,-9.520460393962912327e-03,3.559994818156481068e-04,5.764338057910007862e-01,-5.255872827443079931e-01,1.474336099949138598e-02,-1.392026008013843352e+00,3.974125084979297090e-02,-9.231221248950051139e-01,3.466173014054987900e-02,9.119325951579062561e-01,-1.788196439026521478e+00,-4.321696787400916562e-02,1.777820100266271552e+01,1.197372151577362098e+00,2.748926222822689058e-01,-3.313293991777622738e-01
2.100306612248039467e-02,4.630329245898823389e-05,-7.850423939356170333e-01,1.341563264221940564e-06,-2.356112364592348296e+00,3.236177404558873838e-06,1.570925565346300345e+00,7.850027786018951570e-01,6.518602849554885718e-03,-5.959356614548842225e-03,1.808812918947966144e-04,-1.579097268173076593e-02,4.533632479446107820e-04,-1.046458973138311883e-02,3.914612970445009331e-04,6.027022300187629966e-01,-5.492921936771928415e-01,1.519378041783863743e-02,-1.454691115207929597e+00,4.149050428092614790e-02,-9.647910418728712356e-01,3.624927821135559558e-02,9.532359944352825076e-01,-1.725459921811635322e+00,-1.436400073953525425e-02,1.767424218076696363e+01,1.198351411117021037e+00,2.113725105813536453e-01,-3.463290212395933043e-01
2.200321212831279558e-02,5.312863571866546385e-05,-7.850486328105729106e-01,1.530141841414131584e-06,-2.356128895794896927e+00,3.710647013733368181e-06,1.570914609797786188e+00,7.850031885132482401e-01,7.134429861742833633e-03,-6.520483110575942161e-03,1.962914538701446146e-04,-1.727694370710796887e-02,4.957253332173076161e-04,-1.145018468552530359e-02,4.285040921954922505e-04,6.287323254686970619e-01,-5.727570086662288062e-01,1.561762311502104192e-02,-1.516709437390198589e+00,4.321761274044474965e-02,-1.006041452690064064e+00,3.782323450180458124e-02,9.941384889870601427e-01,-1.663363350924004225e+00,1.418636932566094688e-02,1.757135523716988601e+01,1.199325876731725415e+00,1.484986750504266872e-01,-3.611824371470400141e-01
2.300335813414519648e-02,6.058287510286556888e-05,-7.850554445898454414e-01,1.734340395537118370e-06,-2.356146944096054519e+00,4.228345016386864147e-06,1.570902647948806852e+00,7.850036362577518245e-01,7.776171863145968019e-03,-7.104958071343362401e-03,2.121122717606075661e-04,-1.882461945446024451e-02,5.398037336279707049e-04,-1.247682729229419168e-02,4.671142918489477056e-04,6.545247520615119496e-01,-5.959824218126351658e-01,1.601498900090088384e-02,-1.578082857035747910e+00,4.492264488950985929e-02,-1.046874563509957223e+00,3.938363569686408744e-02,1.034641155546637270e+00,-1.601904531561862299e+00,4.243495212712324050e-02,1.746953707100309572e+01,1.200295207238665895e+00,8.626906224281766233e-02,-3.758900581866120860e-01
2.400350413997759391e-02,6.869181062543005905e-05,-7.850628525056883023e-01,1.954556416848977493e-06,-2.356166570887320955e+00,4.790976948317483384e-06,1.570889638954226619e+00,7.850041233962653520e-01,8.443591480214659994e-03,-7.712542407155686085e-03,2.283173148513389461e-04,-2.043335586846630261e-02,5.855764039784694701e-04,-1.354410079393399136e-02,5.072783572755163589e-04,6.800801697179166272e-01,-6.189691272176318648e-01,1.638597798534045108e-02,-1.638813256619674474e+00,4.660566938928255298e-02,-1.087291580495924892e+00,4.093051848150133093e-02,1.074745069635649752e+00,-1.541081281269891967e+00,7.038255732629623840e-02,1.736878457958205146e+01,1.201259052045931197e+00,2.468161946515773364e-02,-3.904522957289945362e-01
2.500365014580999481e-02,7.748100522204967968e-05,-7.850708795515773941e-01,2.191161011003422016e-06,-2.356187836916987077e+00,5.400226331247100152e-06,1.570875542385125057e+00,7.850046514761266359e-01,9.136451999416345116e-03,-8.342997722520067647e-03,2.448802523519419687e-04,-2.210251077655483315e-02,6.330213677418595293e-04,-1.465158963902839749e-02,5.489827864361714440e-04,7.053992383586203951e-01,-6.417178189824381818e-01,1.673068997820204018e-02,-1.698902518617076307e+00,4.826675490092393467e-02,-1.127293709811341360e+00,4.246391954068352154e-02,1.114451305687718774e+00,-1.480891429507093182e+00,9.802999454220164000e-02,1.726909465846370040e+01,1.202217051645611212e+00,-3.626570520023209010e-02,-4.048695612483641515e-01
2.600379615164239572e-02,8.697578541037768540e-05,-7.850795484829058424e-01,2.444498998988838992e-06,-2.356210802292021178e+00,6.057754741502543678e-06,1.570860318227590202e+00,7.850052220311876106e-01,9.854517367235516440e-03,-8.996086316146212000e-03,2.617748533964694762e-04,-2.383144388890445081e-02,6.821167170623819919e-04,-1.579887948250056559e-02,5.922141139822085240e-04,7.304826179043317769e-01,-6.642291912082741723e-01,1.704922488934794075e-02,-1.758352525503051655e+00,4.990597008559505277e-02,-1.166882157619580695e+00,4.398387555937790377e-02,1.153760937169693968e+00,-1.421332817220656075e+00,1.253780734511213413e-01,1.717046420150312613e+01,1.203168838099164306e+00,-9.657496287335920471e-02,-4.191422663405475202e-01
2.700394215747479662e-02,9.720124195014338516e-05,-7.850888818176778861e-01,2.714889017067327169e-06,-2.356235526479947939e+00,6.765201878696820415e-06,1.570843926881513086e+00,7.850058365818511907e-01,1.059755219017373407e-02,-9.671571180946400559e-03,2.789749870434239665e-04,-2.561951679844373317e-02,7.328406127554646515e-04,-1.698555718561316208e-02,6.369589112552474439e-04,7.553309682757600729e-01,-6.865039379963591148e-01,1.734168262864044241e-02,-1.817165159752697434e+00,5.152338360445703203e-02,-1.206058130084017410e+00,4.549042322255170134e-02,1.192675036700406643e+00,-1.362403296425893195e+00,1.524276038843123127e-01,1.707289010090885029e+01,1.204114035515108316e+00,-1.562482038550037922e-01,-4.332708227400289824e-01
2.800408816330719405e-02,1.081822305032654840e-04,-7.850989018372028783e-01,3.002623616713736607e-06,-2.356262068310733149e+00,7.524185634410317241e-06,1.570826329159379142e+00,7.850064966351080198e-01,1.136532173474960605e-02,-1.036921600403546175e-02,2.964546222757574842e-04,-2.746609298085118944e-02,7.851712843077205762e-04,-1.821121081596830185e-02,6.832037862872310284e-04,7.799449493936141398e-01,-7.085427534479130651e-01,1.760816310594184170e-02,-1.875342303841111669e+00,5.311906411867090699e-02,-1.244822833368024684e+00,4.698359921517213100e-02,1.231194676166967872e+00,-1.304100729792189606e+00,1.791793959237651113e-01,1.697636924729730623e+01,1.205052260519087204e+00,-2.152874776055696271e-01,-4.472556423358222677e-01
2.900423416913959496e-02,1.199433722939656890e-04,-7.851096305867905079e-01,3.307969364554713582e-06,-2.356290485978667526e+00,8.336302160872026689e-06,1.570807486285064503e+00,7.850072036845733292e-01,1.215759192749882138e-02,-1.108878516673080308e-02,3.141878280008724615e-04,-2.937053779455531949e-02,8.390870298769497349e-04,-1.947542964750761246e-02,7.309353838004260589e-04,8.043252211786029449e-01,-7.303463316641555236e-01,1.784876623111441782e-02,-1.932885840243391939e+00,5.469308028939780936e-02,-1.283177473634977694e+00,4.846344022220640951e-02,1.269320926838613861e+00,-1.246422990234868244e+00,2.056342599960247763e-01,1.688089852974610849e+01,1.205983122716369760e+00,-2.736948327243272638e-01,-4.610971371862191970e-01
3.000438017497199586e-02,1.325090547688818953e-04,-7.851210898764439117e-01,3.631166942307731094e-06,-2.356320837044250105e+00,9.203125939640746750e-06,1.570787359892627411e+00,7.850079592105232429e-01,1.297412935497411525e-02,-1.183004374455237824e-02,3.321487730506203625e-04,-3.133221848073452359e-02,8.945662162921374800e-04,-2.077780416051218035e-02,7.801403852074222968e-04,8.284724435514357888e-01,-7.519153667463061019e-01,1.806359191402046385e-02,-1.989797651434636272e+00,5.624550077779878754e-02,-1.321123257048249844e+00,4.992998292862177445e-02,1.307054859478145481e+00,-1.189367960513156852e+00,2.317930069640938007e-01,1.678647483584640909e+01,1.206906225146836320e+00,-3.314723169290734739e-01,-4.747957195324288837e-01
3.100452618080439329e-02,1.459034322571816972e-04,-7.851333012815551182e-01,3.972431246720129965e-06,-2.356353178436068951e+00,1.012620985028629340e-05,1.570765912025102296e+00,7.850087646799318586e-01,1.381470126374528470e-02,-1.259275750722271305e-02,3.503117261813025506e-04,-3.335050416331717532e-02,9.515872790534550887e-04,-2.211792604160257858e-02,8.308055086111330260e-04,8.523872764328211948e-01,-7.732505527955845226e-01,1.825274006452227982e-02,-2.046079619889941359e+00,5.777639424503494547e-02,-1.358661389771215866e+00,5.138326401938544952e-02,1.344397544450959936e+00,-1.132933532833750423e+00,2.576564482174292237e-01,1.669309505175408503e+01,1.207821164732508556e+00,-3.886219770361635240e-01,-4.883518018111263626e-01
3.200467218663679420e-02,1.601504266306760078e-04,-7.851462861435983820e-01,4.331951489508169671e-06,-2.356387566452684545e+00,1.110708523907072583e-05,1.570743105133294071e+00,7.850096215465076632e-01,1.467907556039920250e-02,-1.337669291866690029e-02,3.686510560736702886e-04,-3.542476584898162500e-02,1.010128722332260523e-03,-2.349538818373887381e-02,8.829175088047951613e-04,8.760703797434684637e-01,-7.943525839132105082e-01,1.841631059248214144e-02,-2.101733628084406114e+00,5.928582935226735240e-02,-1.395793077967249829e+00,5.282332017946466535e-02,1.381350051831720327e+00,-1.077117608460604892e+00,2.832253957600662786e-01,1.660075606224004119e+01,1.208727532717671638e+00,-4.451458589409420519e-01,-5.017657966659241353e-01
3.300481819246919163e-02,1.752737279639320956e-04,-7.851600655708255161e-01,4.709891297296047845e-06,-2.356424056764515829e+00,1.214726198762954538e-05,1.570718902074569989e+00,7.850105312507305033e-01,1.556702081153977374e-02,-1.418161713701257542e-02,3.871412313329242508e-04,-3.755437642715610258e-02,1.070169118971096584e-03,-2.490978468622057768e-02,9.364631772719688146e-04,8.995224134040864516e-01,-8.152221542004034482e-01,1.855440340776235569e-02,-2.156761558493127229e+00,6.077387476065711225e-02,-1.432519527799725356e+00,5.425018809382662482e-02,1.417913451508664879e+00,-1.021918097330273945e+00,3.085006622968607948e-01,1.650945475073943669e+01,1.209624915101654041e+00,-5.010460075985636585e-01,-5.150381169577877838e-01
